Arquitectura,Run,Infiltracion (%),Latencia (ms),Throughput (Mbps),Perdida (%),Estabilidad (CV),Bytes/s,Paquetes totales,Anomala
Centralizada,run1,0,0.20,9.45,0.0,0.733,3 862,12 198,
Centralizada,run1,10,22.01,1.91,0.0,0.099,1 198 241,200 301,
Centralizada,run1,25,53.14,0.87,0.0,0.055,1 227 570,204 664,
Centralizada,run1,50,105.52,0.45,0.0,0.052,1 232 679,205 461,
Centralizada,run2,0,0.21,9.50,0.0,0.723,3 908,12 451,
Centralizada,run2,10,21.68,1.95,0.0,0.105,1 193 973,199 206,
Centralizada,run2,25,52.99,0.86,0.0,0.057,1 229 209,204 846,
Centralizada,run2,50,104.92,0.45,0.0,0.042,1 240 216,206 710,
Centralizada,run3,0,0.30,9.55,0.0,0.751,3 824,12 108,
Centralizada,run3,10,21.42,1.97,0.0,0.105,1 190 925,198 730,
Centralizada,run3,25,52.61,0.87,0.0,0.083,1 225 277,204 799,
Centralizada,run3,50,104.51,0.45,0.0,0.042,1 240 085,206 384,
P2P,run1,0,0.47,9.47,0.0,0.624,2 053,6 758,
P2P,run1,10,72.04,0.71,0.0,0.686,1 955,6 551,SI
P2P,run1,25,185.72,0.47,0.0,0.071,261 420,84 672,
P2P,run1,50,399.23,0.30,0.0,0.107,124 012,43 349,
P2P,run2,0,0.45,9.46,0.0,0.758,2 060,6 773,
P2P,run2,10,69.68,1.20,0.0,0.093,229 795,74 646,
P2P,run2,25,188.01,1.11,0.0,0.133,99 146,36 529,
P2P,run2,50,403.21,0.21,0.0,0.164,119 719,45 509,
P2P,run3,0,0.33,9.44,0.0,0.790,2 068,6 826,
P2P,run3,10,73.02,1.07,0.0,0.667,1 935,6 494,SI
P2P,run3,25,198.25,1.22,0.0,0.676,1 752,6 006,SI
P2P,run3,50,400.40,0.14,0.0,0.270,58 076,26 475,
