file_name,file_path,architecture,run_id,scenario_type,total_bot_nodes,normal_count,infiltrated_count,infiltration_ratio,total_packets,total_bytes,duration_seconds,packets_per_second,bytes_per_second,unique_src_ips,unique_dst_ips,unique_flows,avg_packet_size_bytes,latency_ms,packet_loss_pct,throughput_mbps,stability_cv,status,error_message
run1_inf0.pcap,captures/centralized/run1_inf0.pcap,centralized,run1,baseline,40,40,0,0,12198,920017,238.2191,51.205,3862.062,41,41,80,75.4236,0.2032,0.0,9.45,0.7327,ok,
run1_inf10.pcap,captures/centralized/run1_inf10.pcap,centralized,run1,infiltrated,40,30,10,25,204664,295753668,240.9262,849.4884,1227569.6716,41,41,80,1445.0693,53.1356,0.0,0.87,0.0552,ok,
run1_inf20.pcap,captures/centralized/run1_inf20.pcap,centralized,run1,infiltrated,40,20,20,50,205461,300129634,243.4775,843.8603,1232679.13,41,41,80,1460.7621,105.5166,0.0,0.45,0.0516,ok,
run1_inf4.pcap,captures/centralized/run1_inf4.pcap,centralized,run1,infiltrated,40,36,4,10,200301,287094889,239.5969,835.9915,1198241.0702,41,41,80,1433.3173,22.0124,0.0,1.91,0.099,ok,
run2_inf0.pcap,captures/centralized/run2_inf0.pcap,centralized,run2,baseline,40,40,0,0,12451,931200,238.284,52.2528,3907.9423,41,41,80,74.7892,0.2148,0.0,9.5,0.7225,ok,
run2_inf10.pcap,captures/centralized/run2_inf10.pcap,centralized,run2,infiltrated,40,30,10,25,204846,296136018,240.9158,850.2804,1229209.4938,41,41,80,1445.6519,52.986,0.0,0.86,0.0566,ok,
run2_inf20.pcap,captures/centralized/run2_inf20.pcap,centralized,run2,infiltrated,40,20,20,50,206710,302122785,243.605,848.5458,1240215.8811,41,41,80,1461.578,104.9172,0.0,0.45,0.0416,ok,
run2_inf4.pcap,captures/centralized/run2_inf4.pcap,centralized,run2,infiltrated,40,36,4,10,199206,285871395,239.4287,832.0056,1193973.1453,41,41,80,1435.0541,21.6762,0.0,1.95,0.1049,ok,
run3_inf0.pcap,captures/centralized/run3_inf0.pcap,centralized,run3,baseline,40,40,0,0,12108,916027,239.5725,50.54,3823.5903,41,41,80,75.6547,0.2996,0.0,9.55,0.7514,ok,
run3_inf10.pcap,captures/centralized/run3_inf10.pcap,centralized,run3,infiltrated,40,30,10,25,204799,296009549,241.5859,847.7274,1225276.5344,41,41,80,1445.3662,52.6058,0.0,0.87,0.0832,ok,
run3_inf20.pcap,captures/centralized/run3_inf20.pcap,centralized,run3,infiltrated,40,20,20,50,206384,302024305,243.5513,847.3943,1240084.9124,41,41,80,1463.4095,104.5052,0.0,0.45,0.042,ok,
run3_inf4.pcap,captures/centralized/run3_inf4.pcap,centralized,run3,infiltrated,40,36,4,10,198730,285018263,239.325,830.377,1190925.4053,41,41,80,1434.1985,21.4166,0.0,1.97,0.1054,ok,
run1_inf0.pcap,captures/p2p/run1_inf0.pcap,p2p,run1,baseline,40,40,0,0,6758,488128,237.7452,28.4254,2053.1559,7,7,12,72.2297,0.474,0.0,9.47,0.6235,ok,
run1_inf10.pcap,captures/p2p/run1_inf10.pcap,p2p,run1,infiltrated,40,30,10,25,84672,64809261,247.9123,341.5402,261420.1353,7,7,12,765.4155,185.723,0.0,0.47,0.0713,ok,
run1_inf20.pcap,captures/p2p/run1_inf20.pcap,p2p,run1,infiltrated,40,20,20,50,43349,31973816,257.8275,168.1318,124012.4504,7,7,12,737.5906,399.234,0.0,0.3,0.1066,ok,
run1_inf4.pcap,captures/p2p/run1_inf4.pcap,p2p,run1,infiltrated,40,36,4,10,6551,472974,241.9869,27.0717,1954.5438,7,7,12,72.1987,72.0448,0.0,0.71,0.6857,ok,
run2_inf0.pcap,captures/p2p/run2_inf0.pcap,p2p,run2,baseline,40,40,0,0,6773,489254,237.517,28.5159,2059.8693,7,7,12,72.2359,0.4508,0.0,9.46,0.758,ok,
run2_inf10.pcap,captures/p2p/run2_inf10.pcap,p2p,run2,infiltrated,40,30,10,25,36529,24627914,248.4009,147.0567,99145.8487,7,7,12,674.2017,188.013,0.0,1.11,0.1328,ok,
run2_inf20.pcap,captures/p2p/run2_inf20.pcap,p2p,run2,infiltrated,40,20,20,50,45509,30985749,258.8212,175.8318,119718.7412,7,7,12,680.8708,403.2104,0.0,0.21,0.1635,ok,
run2_inf4.pcap,captures/p2p/run2_inf4.pcap,p2p,run2,infiltrated,40,36,4,10,74646,55646185,242.1558,308.2561,229794.9983,7,7,12,745.4677,69.6768,0.0,1.2,0.0932,ok,
run3_inf0.pcap,captures/p2p/run3_inf0.pcap,p2p,run3,baseline,40,40,0,0,6826,492576,238.1453,28.6632,2068.3847,7,7,12,72.1617,0.325,0.0,9.44,0.7902,ok,
run3_inf10.pcap,captures/p2p/run3_inf10.pcap,p2p,run3,infiltrated,40,30,10,25,6006,434313,247.8509,24.2323,1752.316,7,7,12,72.3132,198.2526,0.0,1.22,0.6761,ok,
run3_inf20.pcap,captures/p2p/run3_inf20.pcap,p2p,run3,infiltrated,40,20,20,50,26475,15056051,259.2472,102.1226,58076.0499,7,7,12,568.6894,400.4014,0.0,0.14,0.2703,ok,
run3_inf4.pcap,captures/p2p/run3_inf4.pcap,p2p,run3,infiltrated,40,36,4,10,6494,469126,242.4087,26.7895,1935.2692,7,7,12,72.2399,73.0242,0.0,1.07,0.667,ok,
